"GEO","SEX","AGE","TIME","VALUE","FLAGS","FOOTNOTES"
"BE222_72037","T","TOTAL","2011","14199","",""
"BE222_72038","T","TOTAL","2011","11886","",""
"BE222_72039","T","TOTAL","2011","30356","",""
"BE222_72040","T","TOTAL","2011","12927","",""
"BE222_72041","T","TOTAL","2011","19868","",""
"BE223","T","TOTAL","2011","199377","",""
"BE223_73001","T","TOTAL","2011","11301","",""
"BE223_73006","T","TOTAL","2011","31267","",""
"BE223_73009","T","TOTAL","2011","10474","",""
"BE223_73022","T","TOTAL","2011","7106","",""
"BE223_73028","T","TOTAL","2011","85","",""
"BE223_73032","T","TOTAL","2011","9608","",""
"BE223_73040","T","TOTAL","2011","8336","",""
"BE223_73042","T","TOTAL","2011","25777","",""
"BE223_73066","T","TOTAL","2011","16232","",""
"BE223_73083","T","TOTAL","2011","30374","",""
"BE223_73098","T","TOTAL","2011","7392","",""
"BE223_73107","T","TOTAL","2011","37225","",""
"BE223_73109","T","TOTAL","2011","4200","",""
"BE23","T","TOTAL","2011","1448928","",""
"BE231","T","TOTAL","2011","276973","",""
"BE231_41002","T","TOTAL","2011","81286","",""
"BE231_41011","T","TOTAL","2011","18890","",""
"BE231_41018","T","TOTAL","2011","32477","",""
"BE231_41024","T","TOTAL","2011","17669","",""
"BE231_41027","T","TOTAL","2011","17244","",""
"BE231_41034","T","TOTAL","2011","17896","",""
"BE231_41048","T","TOTAL","2011","37132","",""
"BE231_41063","T","TOTAL","2011","9875","",""
"BE231_41081","T","TOTAL","2011","25084","",""
"BE231_41082","T","TOTAL","2011","19420","",""
"BE232","T","TOTAL","2011","194310","",""
"BE232_42003","T","TOTAL","2011","14588","",""
"BE232_42004","T","TOTAL","2011","14183","",""
"BE232_42006","T","TOTAL","2011","44318","",""
"BE232_42008","T","TOTAL","2011","24220","",""
"BE232_42010","T","TOTAL","2011","12218","",""
"BE232_42011","T","TOTAL","2011","18267","",""
"BE232_42023","T","TOTAL","2011","10518","",""
"BE232_42025","T","TOTAL","2011","23920","",""
"BE232_42026","T","TOTAL","2011","11300","",""
"BE232_42028","T","TOTAL","2011","20778","",""
"BE233","T","TOTAL","2011","82741","",""
"BE233_43002","T","TOTAL","2011","13896","",""
"BE233_43005","T","TOTAL","2011","20324","",""
"BE233_43007","T","TOTAL","2011","6305","",""
"BE233_43010","T","TOTAL","2011","23088","",""
"BE233_43014","T","TOTAL","2011","6546","",""
"BE233_43018","T","TOTAL","2011","12582","",""
"BE234","T","TOTAL","2011","534419","",""
"BE234_44001","T","TOTAL","2011","19735","",""
"BE234_44011","T","TOTAL","2011","29553","",""
"BE234_44012","T","TOTAL","2011","10290","",""
"BE234_44013","T","TOTAL","2011","17672","",""
"BE234_44019","T","TOTAL","2011","33277","",""
"BE234_44020","T","TOTAL","2011","12457","",""
"BE234_44021","T","TOTAL","2011","248358","",""
"BE234_44029","T","TOTAL","2011","8187","",""
"BE234_44034","T","TOTAL","2011","21616","",""
"BE234_44036","T","TOTAL","2011","9500","",""
"BE234_44040","T","TOTAL","2011","10879","",""
"BE234_44043","T","TOTAL","2011","23402","",""
"BE234_44045","T","TOTAL","2011","6037","",""
"BE234_44048","T","TOTAL","2011","11263","",""
"BE234_44049","T","TOTAL","2011","11953","",""
"BE234_44052","T","TOTAL","2011","13372","",""
"BE234_44064","T","TOTAL","2011","8391","",""
"BE234_44072","T","TOTAL","2011","7940","",""
"BE234_44073","T","TOTAL","2011","7235","",""
"BE234_44080","T","TOTAL","2011","8172","",""
"BE234_44081","T","TOTAL","2011","15130","",""
"BE235","T","TOTAL","2011","120700","",""
"BE235_45017","T","TOTAL","2011","8162","",""
"BE235_45035","T","TOTAL","2011","30025","",""
"BE235_45041","T","TOTAL","2011","25202","",""
"BE235_45057","T","TOTAL","2011","7209","",""
"BE235_45059","T","TOTAL","2011","14191","",""
"BE235_45060","T","TOTAL","2011","6490","",""
"BE235_45061","T","TOTAL","2011","6282","",""
"BE235_45062","T","TOTAL","2011","2081","",""
"BE235_45063","T","TOTAL","2011","6501","",""
"BE235_45064","T","TOTAL","2011","6457","",""
"BE235_45065","T","TOTAL","2011","8100","",""
"BE236","T","TOTAL","2011","239785","",""
"BE236_46003","T","TOTAL","2011","46588","",""
"BE236_46013","T","TOTAL","2011","15994","",""
"BE236_46014","T","TOTAL","2011","39623","",""
"BE236_46020","T","TOTAL","2011","18811","",""
"BE236_46021","T","TOTAL","2011","72735","",""
"BE236_46024","T","TOTAL","2011","17448","",""
"BE236_46025","T","TOTAL","2011","28586","",""
"BE24","T","TOTAL","2011","1088692","",""
"BE241","T","TOTAL","2011","600350","",""
"BE241_23002","T","TOTAL","2011","30595","",""
"BE241_23003","T","TOTAL","2011","24409","",""
"BE241_23009","T","TOTAL","2011","2155","",""
"BE241_23016","T","TOTAL","2011","40255","",""
"BE241_23023","T","TOTAL","2011","8519","",""
"BE241_23024","T","TOTAL","2011","9113","",""
"BE241_23025","T","TOTAL","2011","35472","",""
"BE241_23027","T","TOTAL","2011","36347","",""
"BE241_23032","T","TOTAL","2011","6622","",""
"BE241_23033","T","TOTAL","2011","10429","",""
"BE241_23038","T","TOTAL","2011","11252","",""
"BE241_23039","T","TOTAL","2011","9090","",""
"BE241_23044","T","TOTAL","2011","12543","",""
"BE241_23045","T","TOTAL","2011","17794","",""
"BE241_23047","T","TOTAL","2011","13585","",""
"BE241_23050","T","TOTAL","2011","18353","",""
"BE241_23052","T","TOTAL","2011","15582","",""
"BE241_23060","T","TOTAL","2011","13474","",""
"BE241_23062","T","TOTAL","2011","24533","",""
"BE241_23064","T","TOTAL","2011","4458","",""
"BE241_23077","T","TOTAL","2011","31902","",""
"BE241_23081","T","TOTAL","2011","12092","",""
"BE241_23086","T","TOTAL","2011","15085","",""
"BE241_23088","T","TOTAL","2011","40558","",""
"BE241_23094","T","TOTAL","2011","31299","",""
"BE241_23096","T","TOTAL","2011","21990","",""
"BE241_23097","T","TOTAL","2011","11303","",""
"BE241_23098","T","TOTAL","2011","4945","",""
"BE241_23099","T","TOTAL","2011","13415","",""
"BE241_23100","T","TOTAL","2011","4812","",""
"BE241_23101","T","TOTAL","2011","17972","",""
"BE241_23102","T","TOTAL","2011","15326","",""
"BE241_23103","T","TOTAL","2011","13715","",""
"BE241_23104","T","TOTAL","2011","8880","",""
"BE241_23105","T","TOTAL","2011","12476","",""
"BE242","T","TOTAL","2011","488342","",""
"BE242_24001","T","TOTAL","2011","28647","",""
"BE242_24007","T","TOTAL","2011","9853","",""
"BE242_24008","T","TOTAL","2011","6097","",""
"BE242_24009","T","TOTAL","2011","9570","",""
"BE242_24011","T","TOTAL","2011","9508","",""
"BE242_24014","T","TOTAL","2011","11891","",""
"BE242_24016","T","TOTAL","2011","7696","",""
"BE242_24020","T","TOTAL","2011","23206","",""
"BE242_24028","T","TOTAL","2011","5932","",""
"BE242_24033","T","TOTAL","2011","14195","",""
"BE242_24038","T","TOTAL","2011","20442","",""
"BE242_24041","T","TOTAL","2011","6647","",""
"BE242_24043","T","TOTAL","2011","9712","",""
"BE242_24045","T","TOTAL","2011","9471","",""
"BE242_24048","T","TOTAL","2011","12749","",""
"BE242_24054","T","TOTAL","2011","7817","",""
